Exh.Intro-01	Quyết định 1086/QĐ-ĐHCT ngày 17/4/2014 về ban hành Quy định hoạt động đảm bảo chất lượng \n của Trường ĐHCT
Exh.Intro-02	Quyết định 626/QĐ-ĐHCT ngày 25/4/2007 về thành lập Bộ môn Công nghệ phần mềm và điều động cán bộ
Exh.Intro-03	Quyết định 475/QĐ-CNTT ngày 03/06/2018 về thành lập Tổ kiểm định chất lượng CTĐT Kỹ sư KTPM
Exh.Intro-04	Quyết định 532/QĐ-ĐHCT ngày 16/04/2010 \nvề việc thành lập các Tổ tự đánh giá CTĐT theo chuẩn AUN
Exh.Intro-05	Quyết định 572/QĐ-ĐHCT ngày 12/03/2015 \nvề việc thực hiện đánh giá thử CTĐT ngành KTPM \ntheo chuẩn ABET
Exh.Intro-06	Quyết định 2473/QĐ-ĐHCT ngày 26/06/2018 \nvề việc thành lập các Tổ tự đánh giá CTĐT năm 2018
Exh.1.1-01	Mô tả chương trình; mục tiêu đào tạo, \nchuẩn đầu ra và chương trình đào tạo; \nma trận tương quan; kế hoạch học tập mẫu
Exh.1.1-02	Quyết định thành lập hội đồng khoa học và đào tạo \nKhoa CNTT&TT
Exh.1.1-03	Quyết định thành lập Ban chỉ đạo, tổ thư ký, tổ điều chỉnh chương trình KTPM
Exh.1.1-04	Đề xuất chương trình đào tạo KTPM theo ACM
Exh.1.1-05	Các biên bản họp cải tiến chương trình KTPM
Exh.1.1-06	Kết quả lấy ý kiến của sinh viên tốt nghiệp \nđối với chương trình đào tạo
Exh.1.1-07	Các tài liệu tham khảo
Exh.1.1-08	Trang web giới thiệu chuẩn đầu ra các ngành \nvà chuyên ngành đào tạo \nhttps://www.ctu.edu.vn/chuan-dau-ra-ncs.html?id=502
Exh.1.3-01	Thông tư 07/2015/TT-BGDĐT
Exh.1.3-02	Phản hồi từ phía người sử dụng lao động
Exh.2.1-01	Trang web \nhttp://www.cit.ctu.edu.vn/index.php/dao-t-o/chuong-trinh-d-i-h-c
Exh.2.1-02	Trang web https://tuyensinh.ctu.edu.vn
Exh.2.1-03	Poster quảng bá, tờ rơi để giới thiệu các CTĐT \ncủa Khoa CNTT&TT
Exh.2.1-04	Nhóm minh chứng cho việc cải tiến CTĐT
Exh.2.2-01	Nhóm minh chứng cho việc quản lý, \ncông bố kế hoạch giảng dạy học phần
Exh.2.2-02	Nhóm minh chứng cho việc quản lý, \ncải tiến đề cương học phần
Exh.4.1-01	Quy chế 43
Exh.4.1-02	Thông tư ban hành quy định \nvề kiểm định chất lượng cơ sở giáo dục đại học \n12/2017
Exh.4.1-03	Kế hoạch phát triển 2012-2017
Exh.4.1-04	Báo cáo tổng kết năm học 2013-2014 \nvà kế hoạch công tác 2014-2015
Exh.4.1-05	Chương trình đào tạo ngành KTPM K40
Exh.4.1-06	Thông báo mở lại hệ thống nhập kế hoạch học tập
Exh.4.1-07	Kế hoạch học tập mẫu ngành KTPM
Exh.4.1-08	Đề cương thực tập thực tế (CT454)
Exh.4.1-09	Trang web ĐHCT công bố CTĐT ngành KTPM https://www.ctu.edu.vn/dao-tao/ctdt-dai-hoc.html
Exh.4.1-10	Kế hoạch sinh hoạt đầu khóa cho sinh viên mới
Exh.4.1-11	Slide sinh hoạt đầu khóa cho sinh viên mới
Exh.4.1-12	Thông báo sinh hoạt đầu năm học cho sinh viên khóa cũ
Exh.4.1-13	Slide sinh hoạt đầu năm học cho sinh viên khóa cũ
Exh.4.1-14	Quyết định số 2742/QĐ-ĐHCT ngày 15-08-2017 \nvề việc ban hành Quy định \nvề Công tác học vụ
Exh.4.1-15	Thông báo mở lớp bồi dưỡng Nghiệp vụ Sư phạm \nnăm 2016
Exh.4.1-16	Danh sách giảng viên tham dự \nlớp bồi dưỡng Nghiệp vụ Sư phạm 2016
Exh.4.2-01	Đề cương chi tiết \nhọc phần Nhập môn Công nghệ phần mềm (CT171)
Exh.4.2-02	Đề cương chi tiết \nhọc phần Lập trình căn bản (CT101)
Exh.4.2-03	Website Hệ thống hỗ trợ học tập \ncủa Khoa CNTT&TT https://elcit.ctu.edu.vn/
Exh.4.2-04	Đề cương chi tiết \nhọc phần Bảo trì phần mềm (CT244)
Exh.4.2-05	Đề cương chi tiết \nhọc phần Niên luận cơ sở ngành KTPM (CT239)
Exh.4.2-06	Danh sách đề tài \nniên luận cơ sở ngành KTPM (CT239)
Exh.4.2-07	Đề cương chi tiết \nhọc phần Niên luận ngành KTPM (CT250)
Exh.4.2-08	Phiếu đánh giá kỹ năng làm việc nhóm \nniên luận ngành KTPM
Exh.4.2-09	Phiếu đánh giá kỹ năng thuyết trình nhóm \nniên luận ngành KTPM
Exh.4.2-10	Danh sách phân nhóm đề tài niên luận ngành KTPM
Exh.4.2-11	Thông báo và danh sách đề tài luận văn tốt nghiệp
Exh.4.2-12	Qui định và đề cương thực tập thực tế
Exh.4.2-13	Danh sách phân công \ngiảng viên hướng dẫn sinh viên thực tập thực tế
Exh.4.2-14	Nội dung công tác đi thăm sinh viên thực tập
Exh.4.2-15	Thông báo tuyển sinh viên thực tập thực tế \ncủa doanh nghiệp
Exh.4.2-16	Đề cương chi tiết \nhọc phần Phân tích thiết kế thuật toán (CT174)
Exh.4.2-17	Phiếu đánh giá điểm rèn luyện của sinh viên
Exh.4.2-18	Hướng dẫn thực hiện \nvà quản lý đề tài NCKH của sinh viên
Exh.4.2-19	Quyết định phê duyệt danh mục đề tài NCKH \ncủa sinh viên năm 2018
Exh.4.2-20	Website \nHệ thống khảo sát học phần trực tuyến của ĐHCT \nhttps://oss.ctu.edu.vn/
Exh.4.2-21	Các mẫu phiếu khảo sát trực tuyến dành cho sinh viên
Exh.4.2-22	Kết quả khảo sát của học phần
Exh.4.2-23	Biên bản họp với các doanh nghiệp 12/2017
Exh.4.3-01	Đề cương chi tiết \nLuận văn tốt nghiệp ngành KTPM (CT594)
Exh.4.3-02	Thông báo \nvề việc thực hiện Luận văn tốt nghiệp của Bộ môn CNPM \nHọc kỳ 2 2016-2017
Exh.4.3-03	Hướng dẫn về việc xét miễn và công nhận điểm học phần
Exh.4.3-04	Quy chế về việc cử sinh viên đi học tập ở nước ngoài
Exh.4.3-05	Quyết định cho phép sinh viên đi học tập ở nước ngoài
Exh.5.1-01	Quy chế \nTuyển sinh đại học, cao đẳng hệ chính quy \nban hành kèm theo Thông tư số 03/2015/TT-BGDĐT
Exh.5.1-02	Thông tin tuyển sinh năm 2012 của Trường ĐHCT
Exh.5.1-03	Thông tin tuyển sinh năm 2013 của Trường ĐHCT
Exh.5.1-04	Đề cương chi tiết \nhọc phần Nhập môn Công nghệ phần mềm (CT171)
Exh.5.1-05	Phiếu đánh giá báo cáo kết quả thực tập thực tế
Exh.5.1-06	Quy định \nvề việc thực hiện và đánh giá luận văn tốt nghiệp đại học
Exh.5.1-07	Quyết định thành lập \nHội đồng chấm Luận văn tốt nghiệp  đại học học kỳ 2 2017-2018
Exh.5.1-08	Phiếu chấm luận văn dành cho thành viên Hội đồng chấm
Exh.5.1-09	Mẫu biên bản \ncủa Hội đồng chấm điểm Luận văn tốt nghiệp
Exh.5.2-01	Kế hoạch khung công tác năm 2018 của Trường ĐHCT
Exh.5.2-02	Kế hoạch giảng dạy học phần CT174
Exh.5.2-03	Mẫu đáp án đề thi cuối kỳ học phần CT174
Exh.5.3-01	Mẫu đề thi kiểm tra giữa kỳ học phần CT174
Exh.5.3-02	Mẫu đề thi cuối kỳ phần thực hành học phần CT174
Exh.5.3-03	Mẫu đề thi cuối kỳ phần lý thuyết học phần CT174
Exh.5.3-04	Kết quả kiểm tra giữa kỳ \nhọc phần CT174 được xuất ra tập tin
Exh.5.3-05	Quyết định 73/QĐ-ĐHCT ngày 11-01-2017 \nvề Quy chế đánh giá điểm rèn luyện của sinh viên
Exh.5.3-06	Quyết định 939-QĐ-ĐHCT ngày 28-03-2017 \nban hành Quy chế chi tiêu nội bộ Trường ĐHCT
Exh.5.3-07	Biên bản họp Bộ môn \nđiều chỉnh Đề cương học phần CT240
Exh.5.3-08	Đề cương chi tiết \nhọc phần Nguyên lý xây dựng phần mềm khóa 43
Exh.5.3-09	Đề cương chi tiết \nhọc phần Nguyên lý xây dựng phần mềm  khóa 44
Exh.5.3-10	Mẫu quy định hình thức viết báo cáo \nLuận văn tốt nghiệp đại học ngành KTPM
Exh.5.3-11	Phiếu lấy ý kiến của nhà sử dụng lao động \nvề chương trình đào tạo
Exh.5.3-12	Phiếu lấy ý kiến của cựu sinh viên về chương trình đào tạo
Exh.5.4-01	Đề cương chi tiết \nhọc phần Phát triển phần mềm tác nghiệp CT249
Exh.5.4-02	Danh sách điểm danh sinh viên học thực hành
Exh.5.4-03	Bài báo cáo kết quả bài tập thực hành nhóm của sinh viên
Exh.5.4-04	Bảng nhận xét báo cáo thuyết trình nhóm cúa sinh viên
Exh.5.4-05	Bảng điểm thi cuối kỳ \nvà lịch hẹn trao đổi thắc mắc về kết quả
Exh.5.4-06	Phiếu nhận xét, đánh giá luận văn tốt nghiệp
Exh.6.1-01	Kế hoạch phát triển của Khoa CNTT&TT \ngiai đoạn 2012-2017
Exh.6.1-02	Quy định về tiến trình phấn đấu của giảng viên
Exh.6.1-03	Quy hoạch tiến trình phấn đấu giảng viên \nKhoa CNTT&TT
Exh.6.1-04	Thông báo của Trường về kế hoạch đăng ký tuyển dụng
Exh.6.2-01	Qui chế quản lý nhiệm vụ chuyên môn
Exh.6.3-01	Qui định tuyển dụng của Đại học Cần Thơ
Exh.6.3-02	Qui chế bổ nhiệm của Đại học Cần Thơ
Exh.6.3-03	Thông báo tuyển giảng viên Khoa CNTT&TT
Exh.6.3-04	Quyết định kéo dài thời gian làm việc \ncủa thầy Lê Quyết Thắng
Exh.6.4-01	Thông tư liên tịch số 36/2014/TTLT-BGDĐT-BNV \ncủa Bộ Nội vụ-Bộ Giáo dục và Đào tạo : \nQuy định mã số và tiêu chuẩn chức danh nghề nghiệp \nviên chức giảng dạy \ntrong các cơ sở giáo dục đại học công lập
Exh.6.4-02	Phiếu đăng ký kế hoạch công tác
Exh.6.4-03	Phiếu đánh giá và phân loại viên chức
Exh.6.4-04	Hướng dẫn xét thi đua khen thưởng cuối năm
Exh.6.4-05	Biên bản họp hội đồng thi đua khen thưởng Khoa
Exh.6.4-06	Biên bản xét tăng lương trước hạn
Exh.6.4-07	Phiếu tổng hợp của một học phần
Exh.6.4-08	Phiếu tổng hợp các học phần của bộ môn
Exh.6.4-09	Phiếu tổng hợp các học phần của Khoa
